id,start_time,origin,destination,kind
650,1194,11,3,Human
651,1197,17,3,Human
652,1198,17,3,Human
653,1202,11,2,Human
654,1207,98,9,Human
655,1208,64,20,Human
656,1211,4,3,Human
657,1212,7,9,Human
658,1212,11,65,Human
659,1214,7,9,Human
660,1215,7,9,Human
661,1217,7,1,Human
662,1218,7,10,Human
663,1220,7,9,Human
664,1220,4,12,Human
665,1221,6,5,Human
666,1223,7,9,Human
667,1225,7,9,Human
668,1225,8,89,Human
669,1226,7,10,Human
670,1229,4,3,Human
671,1230,7,9,Human
672,1231,7,90,Human
673,1232,4,3,Human
674,1233,7,4,Human
675,1235,7,91,Human
676,1236,4,3,Human
677,1237,4,3,Human
678,1239,11,3,Human
679,1241,0,12,Human
680,1243,99,10,Human
681,1243,100,10,Human
682,1244,49,3,Human
683,1244,7,10,Human
684,1244,11,3,Human
685,1244,16,9,Human
686,1245,24,10,Human
687,1245,11,3,Human
688,1246,7,10,Human
689,1247,7,9,Human
690,1250,0,92,Human
691,1258,0,2,Human
692,1258,0,2,Human
693,1259,0,2,Human
694,1259,0,93,Human
695,1263,11,2,Human
696,1265,4,3,Human
697,1269,0,3,Human
698,1273,4,3,Human
699,1275,4,3,Human
700,1278,0,3,Human
701,1283,11,3,Human
702,1285,11,3,Human
703,1286,4,20,Human
704,1287,101,22,Human
705,1290,1,1,Human
706,1291,16,94,Human
707,1294,16,3,Human
708,1298,4,20,Human
709,1298,7,4,Human
710,1300,7,77,Human
711,1301,11,3,Human
712,1303,4,20,Human
713,1304,7,10,Human
714,1306,7,9,Human
715,1307,16,18,Human
716,1307,7,9,Human
717,1309,11,4,Human
718,1309,7,4,Human
719,1310,4,89,Human
720,1311,64,10,Human
721,1314,8,95,Human
722,1314,11,2,Human
723,1315,7,10,Human
724,1316,8,2,Human
725,1316,7,10,Human
726,1317,11,2,Human
727,1318,7,9,Human
728,1318,11,3,Human
729,1320,8,96,Human
730,1320,7,9,Human
731,1323,11,3,Human
732,1323,7,9,Human
733,1325,17,3,Human
734,1326,7,9,Human
735,1328,11,3,Human
736,1330,7,10,Human
737,1331,17,5,Human
738,1332,7,9,Human
739,1335,7,9,Human
740,1336,16,10,Human
741,1337,11,3,Human
742,1337,7,10,Human
743,1338,102,3,Human
744,1338,4,20,Human
745,1339,7,9,Human
746,1340,7,9,Human
747,1341,4,20,Human
748,1346,17,5,Human
749,1348,4,20,Human
750,1349,73,5,Human
751,1349,17,5,Human
752,1354,103,9,Human
753,1355,17,5,Human
754,1359,17,16,Human
755,1361,0,3,Human
756,1365,104,5,Human
757,1366,10,5,Human
758,1375,8,10,Human
759,1376,4,20,Human
760,1376,8,9,Human
761,1377,16,4,Human
762,1378,8,2,Human
763,1379,0,0,Human
764,1380,8,97,Human
765,1380,4,20,Human
766,1381,8,10,Human
767,1381,0,98,Human
768,1381,11,20,Human
769,1382,8,9,Human
770,1382,8,9,Human
771,1383,11,20,Human
772,1385,7,9,Human
773,1385,0,2,Human
774,1386,0,2,Human
775,1388,11,20,Human
776,1388,0,3,Human
777,1388,7,9,Human
778,1389,4,4,Human
779,1390,0,3,Human
780,1391,7,10,Human
781,1393,4,55,Human
782,1397,7,10,Human
783,1397,8,9,Human
784,1398,7,9,Human
785,1401,17,3,Human
786,1403,8,10,Human
787,1403,7,10,Human
788,1404,8,99,Human
789,1404,0,2,Human
790,1405,7,10,Human
791,1408,8,9,Human
792,1409,7,10,Human
793,1409,105,1,Human
794,1410,7,10,Human
795,1412,106,5,Human
796,1412,8,2,Human
797,1412,7,9,Human
798,1414,7,9,Human
799,1414,11,20,Human
800,1415,50,9,Human
801,1415,7,9,Human
802,1416,16,9,Human
803,1417,11,2,Human
804,1417,7,10,Human
805,1419,7,9,Human
806,1419,107,20,Human
807,1420,4,20,Human
808,1421,7,9,Human
809,1421,11,20,Human
810,1422,7,100,Human
811,1424,7,10,Human
812,1425,16,4,Human
813,1426,7,9,Human
814,1426,11,20,Human
815,1428,108,4,Human
816,1428,7,9,Human
817,1430,11,20,Human
818,1431,4,20,Human
819,1431,49,2,Human
820,1434,4,20,Human
821,1435,1,10,Human
822,1436,11,20,Human
823,1436,1,1,Human
824,1437,11,20,Human
825,1442,17,5,Human
826,1442,11,2,Human
827,1444,11,20,Human
828,1444,1,1,Human
829,1446,1,1,Human
830,1447,11,20,Human
831,1450,11,20,Human
832,1453,11,2,Human
833,1454,4,20,Human
834,1455,4,20,Human
835,1456,11,20,Human
836,1457,4,20,Human
837,1458,11,4,Human
838,1463,1,10,Human
839,1464,8,9,Human
840,1465,11,20,Human
841,1466,8,10,Human
842,1467,8,10,Human
843,1468,8,10,Human
844,1469,11,20,Human
845,1470,8,9,Human
846,1470,11,20,Human
847,1470,1,1,Human
848,1473,19,3,Human
849,1474,0,3,Human
850,1475,0,2,Human
851,1476,1,1,Human
852,1478,0,2,Human
853,1480,0,3,Human
854,1481,49,9,Human
855,1482,109,20,Human
856,1487,8,9,Human
857,1487,7,10,Human
858,1488,0,101,Human
859,1489,32,2,Human
860,1490,0,2,Human
861,1491,7,10,Human
862,1492,0,102,Human
863,1492,0,2,Human
864,1496,1,1,Human
865,1497,0,12,Human
866,1498,8,9,Human
867,1500,110,10,Human
868,1501,7,10,Human
869,1501,17,5,Human
870,1503,7,10,Human
871,1503,16,10,Human
