id,q-table
319,-8.62  0.00  0.00
320,-18.52  0.00  0.00
321,-5.33  0.00  0.00
322,0.00  -11.75  0.00
323,0.00  0.00  -7.15
324,0.00  0.00  -9.29
325,-10.06  0.00  0.00
326,0.00  0.00  -14.27
327,-13.60  0.00  0.00
328,0.00  0.00  -21.39
329,0.00  0.00  -14.01
330,0.00  0.00  -20.05
331,0.00  -15.54  0.00
332,-5.39  0.00  0.00
333,-15.53  0.00  0.00
334,0.00  0.00  -8.38
335,0.00  0.00  -13.53
336,0.00  -7.95  0.00
337,0.00  0.00  -11.60
338,-8.59  0.00  0.00
339,-13.53  0.00  0.00
340,-10.15  0.00  0.00
341,0.00  -16.83  0.00
342,-4.25  0.00  0.00
343,-5.79  0.00  0.00
344,-15.05  0.00  0.00
345,0.00  -8.03  0.00
346,-12.08  0.00  0.00
347,-9.87  0.00  0.00
348,0.00  -11.56  0.00
349,-7.51  0.00  0.00
350,0.00  0.00  -16.96
351,0.00  0.00  -14.31
352,-22.70  0.00  0.00
353,0.00  0.00  -10.64
354,0.00  0.00  -7.79
355,-18.04  0.00  0.00
356,-16.38  0.00  0.00
357,0.00  0.00  -19.51
358,-9.01  0.00  0.00
359,-17.62  0.00  0.00
360,-9.40  0.00  0.00
361,-11.64  0.00  0.00
362,0.00  0.00  -4.17
363,0.00  0.00  -17.85
364,0.00  -13.48  0.00
365,-10.53  0.00  0.00
366,0.00  0.00  -18.49
367,-6.40  0.00  0.00
368,0.00  0.00  -7.39
369,0.00  -11.77  0.00
370,-6.15  0.00  0.00
371,-14.50  0.00  0.00
372,0.00  -9.83  0.00
373,0.00  -11.66  0.00
374,0.00  0.00  -16.42
375,-13.85  0.00  0.00
376,-11.56  0.00  0.00
377,-10.45  0.00  0.00
378,-12.24  0.00  0.00
379,0.00  0.00  -13.39
380,-11.60  0.00  0.00
381,0.00  0.00  -18.81
382,0.00  0.00  -8.28
383,-6.57  0.00  0.00
384,0.00  -11.16  0.00
385,-12.45  0.00  0.00
386,0.00  0.00  -19.23
387,0.00  -9.95  0.00
388,0.00  0.00  -12.17
389,0.00  -12.59  0.00
390,-21.01  0.00  0.00
391,0.00  -7.50  0.00
392,0.00  -6.11  0.00
393,0.00  -12.49  0.00
394,0.00  0.00  -5.42
395,0.00  0.00  -17.82
396,0.00  -9.48  0.00
397,0.00  -8.31  0.00
398,0.00  0.00  -12.81
399,-8.63  0.00  0.00
400,0.00  0.00  -13.57
401,0.00  0.00  -11.64
402,-13.75  0.00  0.00
403,-8.75  0.00  0.00
404,0.00  -13.32  0.00
405,0.00  0.00  -12.55
406,0.00  0.00  -21.50
407,-16.71  0.00  0.00
408,-9.07  0.00  0.00
409,0.00  -10.33  0.00
410,0.00  -12.60  0.00
411,-19.70  0.00  0.00
412,-9.22  0.00  0.00
413,0.00  -23.27  0.00
414,-13.15  0.00  0.00
415,0.00  -7.90  0.00
416,-8.49  0.00  0.00
417,0.00  0.00  -21.21
418,-11.35  0.00  0.00
419,-14.57  0.00  0.00
420,-9.81  0.00  0.00
421,0.00  0.00  -12.29
422,-8.06  0.00  0.00
423,0.00  0.00  -5.07
424,0.00  -7.13  0.00
425,-9.63  0.00  0.00
426,0.00  -8.61  0.00
427,-6.28  0.00  0.00
428,0.00  -9.33  0.00
429,0.00  -12.83  0.00
430,0.00  0.00  -8.77
431,-13.65  0.00  0.00
432,-13.32  0.00  0.00
433,-15.75  0.00  0.00
434,0.00  0.00  -7.79
435,0.00  -14.16  0.00
436,-7.84  0.00  0.00
437,-11.65  0.00  0.00
438,0.00  -14.20  0.00
439,0.00  0.00  -17.36
440,-8.70  0.00  0.00
441,0.00  0.00  -7.69
442,-20.13  0.00  0.00
443,0.00  -12.28  0.00
444,-13.03  0.00  0.00
445,0.00  0.00  -11.58
446,0.00  -7.06  0.00
447,-17.95  0.00  0.00
448,0.00  0.00  -8.10
449,0.00  -18.95  0.00
450,0.00  -9.19  0.00
451,0.00  0.00  -9.84
452,-10.15  0.00  0.00
453,-6.47  0.00  0.00
454,0.00  0.00  -11.12
455,0.00  -16.11  0.00
456,0.00  -11.32  0.00
457,0.00  -11.32  0.00
458,0.00  -13.17  0.00
459,0.00  0.00  -13.64
460,-22.62  0.00  0.00
461,0.00  -9.27  0.00
462,0.00  -8.15  0.00
463,-6.27  0.00  0.00
464,0.00  0.00  -14.41
465,0.00  0.00  -14.64
466,-16.43  0.00  0.00
467,0.00  0.00  -18.03
468,0.00  0.00  -8.57
469,0.00  0.00  -11.59
470,-15.72  0.00  0.00
471,-17.71  0.00  0.00
472,-18.74  0.00  0.00
473,0.00  0.00  -7.70
474,-6.34  0.00  0.00
475,0.00  -8.67  0.00
476,-8.38  0.00  0.00
477,0.00  0.00  -12.01
478,-8.86  0.00  0.00
479,-16.46  0.00  0.00
480,-8.89  0.00  0.00
481,-11.02  0.00  0.00
482,0.00  0.00  -13.51
483,0.00  -12.23  0.00
484,0.00  0.00  -18.00
485,0.00  -16.43  0.00
486,0.00  0.00  -15.49
487,0.00  0.00  -8.33
488,0.00  -9.24  0.00
489,-12.30  0.00  0.00
490,-17.93  0.00  0.00
491,0.00  -8.71  0.00
492,0.00  -9.73  0.00
493,0.00  0.00  -16.80
494,0.00  -9.80  0.00
495,0.00  0.00  -18.39
496,0.00  -10.51  0.00
497,0.00  -7.43  0.00
498,0.00  -10.07  0.00
499,0.00  -11.63  0.00
500,0.00  0.00  -13.33
501,0.00  -11.03  0.00
502,-12.05  0.00  0.00
503,0.00  -9.54  0.00
504,-6.37  0.00  0.00
505,0.00  -13.64  0.00
506,-4.25  0.00  0.00
507,0.00  0.00  -10.64
508,-8.70  0.00  0.00
509,-10.92  0.00  0.00
510,0.00  0.00  -5.65
511,0.00  -11.21  0.00
512,-6.49  0.00  0.00
513,-12.78  0.00  0.00
514,0.00  0.00  -11.50
515,0.00  -15.69  0.00
516,0.00  -10.41  0.00
517,0.00  0.00  -18.58
518,0.00  0.00  -8.43
519,-7.67  0.00  0.00
520,0.00  0.00  -20.13
521,0.00  0.00  -11.49
522,-10.15  0.00  0.00
523,0.00  -9.84  0.00
524,-10.53  0.00  0.00
525,0.00  -10.33  0.00
526,0.00  0.00  -8.75
527,0.00  0.00  -11.24
528,0.00  -5.82  0.00
529,0.00  0.00  -8.33
530,-16.19  0.00  0.00
531,0.00  0.00  -19.79
532,0.00  -10.63  0.00
533,0.00  0.00  -11.51
534,-13.01  0.00  0.00
535,-14.33  0.00  0.00
536,0.00  0.00  -17.23
537,-6.89  0.00  0.00
538,0.00  -6.04  0.00
539,-16.70  0.00  0.00
540,0.00  -13.25  0.00
541,-15.31  0.00  0.00
542,-10.88  0.00  0.00
543,-19.35  0.00  0.00
544,0.00  0.00  -10.18
545,0.00  -6.37  0.00
546,-11.79  0.00  0.00
547,0.00  0.00  -11.52
548,0.00  0.00  -13.93
549,-20.43  0.00  0.00
550,0.00  -13.47  0.00
551,0.00  0.00  -13.95
552,0.00  0.00  -10.20
553,0.00  -16.03  0.00
554,0.00  -14.34  0.00
555,0.00  -18.00  0.00
556,0.00  -16.52  0.00
557,0.00  0.00  -17.52
558,0.00  -11.76  0.00
559,0.00  -9.14  0.00
560,-10.63  0.00  0.00
561,0.00  -9.41  0.00
562,0.00  -23.12  0.00
563,-9.70  0.00  0.00
564,-6.65  0.00  0.00
565,-7.84  0.00  0.00
566,0.00  0.00  -5.45
567,-15.04  0.00  0.00
568,-11.86  0.00  0.00
569,0.00  0.00  -12.02
570,0.00  0.00  -9.38
571,-13.92  0.00  0.00
572,0.00  0.00  -8.58
573,-5.98  0.00  0.00
574,-21.93  0.00  0.00
575,-15.00  0.00  0.00
576,0.00  -9.76  0.00
577,0.00  -20.02  0.00
578,-22.61  0.00  0.00
579,0.00  0.00  -10.43
580,-19.46  0.00  0.00
581,0.00  -10.61  0.00
582,-18.91  0.00  0.00
583,0.00  0.00  -23.23
584,0.00  -13.09  0.00
585,0.00  0.00  -18.23
586,-9.61  0.00  0.00
587,-9.42  0.00  0.00
588,0.00  0.00  -5.33
589,-17.10  0.00  0.00
590,0.00  0.00  -7.80
591,-19.43  0.00  0.00
592,0.00  -16.20  0.00
593,-14.27  0.00  0.00
594,-13.06  0.00  0.00
595,-8.70  0.00  0.00
596,-8.63  0.00  0.00
597,0.00  0.00  -9.45
598,0.00  -13.81  0.00
599,0.00  0.00  -7.42
