id,epsilon,q_table
702,0.86,-17.38  0.00  0.00
703,0.79,-12.13  0.00  0.00
704,0.70,-16.11  0.00  0.00
705,0.92,-5.92  0.00  0.00
706,0.91,0.00  -7.57  0.00
707,0.78,0.00  -16.07  0.00
708,0.71,-9.93  0.00  0.00
709,0.71,0.00  -11.73  0.00
710,0.72,-15.10  0.00  0.00
711,0.77,0.00  0.00  -11.31
712,0.70,-10.83  0.00  0.00
713,0.67,-12.98  0.00  0.00
714,0.74,-6.81  0.00  0.00
715,0.87,0.00  0.00  -16.82
716,0.77,-6.45  0.00  0.00
717,0.68,-9.56  0.00  0.00
718,0.90,-9.01  0.00  0.00
719,0.87,0.00  0.00  -17.42
720,0.77,-9.73  0.00  0.00
721,0.82,0.00  -10.80  0.00
722,0.86,0.00  -4.37  0.00
723,0.88,-10.57  0.00  0.00
724,0.86,-11.71  0.00  0.00
725,0.77,-6.43  0.00  0.00
726,0.78,0.00  -16.48  0.00
727,0.90,0.00  0.00  -22.75
728,0.78,0.00  0.00  -20.40
729,0.81,-11.19  0.00  0.00
730,0.66,-10.93  0.00  0.00
731,0.80,-14.74  0.00  0.00
732,0.66,-18.93  0.00  0.00
733,0.79,-10.12  0.00  0.00
734,0.71,0.00  -20.59  0.00
