id,epsilon,q_table
133,0.65,-6.69  -11.21  0.00
134,0.90,-23.93  0.00  0.00
135,0.79,0.00  -18.49  0.00
136,0.72,0.00  -12.68  -14.41
137,0.70,-20.32  0.00  0.00
138,0.77,0.00  -19.15  -12.31
139,0.80,0.00  -17.93  -16.29
140,0.77,0.00  -14.90  0.00
141,0.74,0.00  -17.77  0.00
142,0.82,0.00  -26.95  0.00
143,0.94,-15.52  -15.59  0.00
144,0.69,-13.66  0.00  -16.64
145,0.83,-18.21  -17.21  0.00
146,0.80,-19.50  0.00  0.00
147,0.75,0.00  0.00  -12.01
148,0.75,-19.94  -13.96  0.00
149,0.78,-5.43  -6.88  0.00
150,0.75,0.00  -19.09  0.00
151,0.82,-15.66  0.00  -15.62
152,0.67,-12.13  -8.42  0.00
153,0.75,0.00  -9.18  -16.36
154,0.63,-11.42  -9.84  0.00
155,0.72,-8.84  -8.22  0.00
156,0.86,0.00  -18.25  -20.15
157,0.77,-17.94  -18.14  0.00
158,0.60,-12.30  0.00  -5.75
159,0.69,-17.04  0.00  0.00
160,0.83,-11.12  0.00  -7.11
161,0.71,-28.74  0.00  0.00
162,0.68,-20.32  0.00  0.00
163,0.72,-10.23  -14.98  0.00
164,0.79,0.00  0.00  -13.72
165,0.80,0.00  -12.00  0.00
166,0.70,-14.73  -20.17  0.00
167,0.74,-9.79  -13.35  0.00
168,0.83,-16.65  -18.62  0.00
169,0.84,0.00  0.00  -24.55
170,0.81,-20.76  0.00  -17.75
171,0.67,0.00  -7.29  -10.21
172,0.65,-7.82  -10.35  0.00
173,0.68,-17.17  -9.73  0.00
174,0.59,0.00  -6.35  -8.15
175,0.70,-10.38  -9.32  0.00
176,0.73,0.00  -12.96  0.00
177,0.70,-24.27  0.00  -23.68
178,0.76,0.00  -24.91  0.00
179,0.84,0.00  0.00  -22.99
180,0.81,0.00  -18.91  0.00
181,0.81,-19.24  0.00  -21.58
182,0.74,-14.31  0.00  -7.46
183,0.66,-5.13  0.00  -8.05
184,0.90,-5.32  0.00  -11.19
185,0.67,-13.96  -12.30  0.00
186,0.81,-11.75  0.00  -6.92
187,0.77,0.00  0.00  -30.02
188,0.84,-7.45  0.00  -11.63
189,0.69,0.00  0.00  -15.00
190,0.84,-10.72  0.00  -13.27
191,0.65,-8.80  -7.72  0.00
192,0.72,-14.78  0.00  -11.22
193,0.68,-13.54  0.00  -17.42
194,0.79,0.00  -28.03  0.00
195,0.60,-9.04  -6.78  0.00
196,0.66,-21.64  -13.49  0.00
197,0.82,-13.54  -16.91  0.00
198,0.67,-9.64  -5.25  0.00
199,0.79,0.00  -22.41  -21.31
200,0.72,-16.52  0.00  -15.77
201,0.86,-12.96  -12.36  0.00
202,0.74,-13.45  -8.74  0.00
203,0.67,-11.15  -11.37  0.00
204,0.65,0.00  0.00  -16.38
205,0.68,-11.84  -14.37  0.00
206,0.92,-10.35  0.00  -16.41
207,0.73,0.00  -11.59  -10.17
208,0.72,-18.37  0.00  -20.96
209,0.88,0.00  -13.92  0.00
210,0.70,-18.57  0.00  0.00
211,0.81,-7.24  -7.79  0.00
212,0.79,0.00  -12.44  -10.20
213,0.82,0.00  -20.57  0.00
214,0.70,-10.82  0.00  -7.55
215,0.92,-13.78  0.00  -10.02
216,0.80,-7.75  0.00  -7.65
217,0.71,0.00  -26.06  0.00
218,0.78,-7.03  -15.94  0.00
219,0.71,-18.69  0.00  -11.04
220,0.78,0.00  -26.40  0.00
221,0.79,0.00  -14.12  -18.79
222,0.73,-13.94  -12.21  0.00
223,0.80,0.00  -20.37  -15.70
224,0.81,-20.61  0.00  0.00
225,0.67,-7.93  -17.27  0.00
226,0.69,-8.94  -20.75  0.00
227,0.71,-11.01  -11.86  0.00
228,0.74,0.00  -12.55  -18.40
229,0.57,-16.86  0.00  -18.66
230,0.78,-20.34  0.00  -14.01
231,0.66,-13.01  0.00  -13.49
232,0.63,-13.73  -7.54  0.00
233,0.85,0.00  0.00  -16.92
234,0.70,-14.61  -12.90  0.00
235,0.67,-19.87  -20.86  0.00
236,0.74,0.00  0.00  -23.79
237,0.79,0.00  0.00  -16.79
238,0.82,-9.98  -7.71  0.00
239,0.70,-12.40  0.00  -20.58
240,0.70,-8.31  0.00  -15.44
241,0.88,0.00  0.00  -26.24
242,0.72,-9.07  -13.86  0.00
243,0.75,-14.11  -9.04  0.00
244,0.69,0.00  -15.68  -13.06
245,0.87,0.00  -12.52  -14.82
246,0.86,-14.33  0.00  -12.11
247,0.89,0.00  -25.24  0.00
248,0.94,-13.36  0.00  -6.82
249,0.66,-12.46  -12.52  0.00
250,0.78,-8.42  0.00  -16.87
251,0.88,-15.05  -8.90  0.00
252,0.73,0.00  -26.66  0.00
253,0.77,-16.23  -14.83  0.00
254,0.74,-14.82  -7.85  0.00
255,0.67,-16.78  -12.60  0.00
256,0.77,0.00  -8.21  -7.56
257,0.80,-8.16  -10.16  0.00
258,0.80,-18.31  0.00  0.00
259,0.76,-14.98  -9.06  0.00
260,0.70,0.00  -13.25  -8.02
261,0.72,0.00  -6.86  -13.78
262,0.66,0.00  -24.00  0.00
263,0.77,0.00  -10.83  -15.57
264,0.91,0.00  0.00  -14.82
265,0.69,-9.99  -9.76  0.00
266,0.85,-19.44  -18.34  0.00
267,0.60,-9.92  0.00  -15.01
268,0.83,-7.41  0.00  -10.78
269,0.71,-14.86  -14.48  0.00
270,0.79,0.00  -13.88  0.00
271,0.76,-11.63  0.00  0.00
272,0.80,-7.94  -10.21  0.00
273,0.72,-8.96  0.00  -13.69
274,0.84,0.00  -27.71  0.00
275,0.74,-8.31  0.00  -14.73
276,0.70,-8.28  -10.89  0.00
277,0.68,-6.89  -13.89  0.00
278,0.61,-4.06  0.00  -7.12
279,0.85,-22.56  0.00  0.00
280,0.72,0.00  -27.69  0.00
281,0.76,-16.57  0.00  0.00
282,0.76,0.00  0.00  -26.49
283,0.81,-13.40  -18.50  0.00
284,0.76,0.00  -9.12  -7.13
285,0.92,-10.35  -20.53  0.00
286,0.84,-7.30  -11.53  0.00
287,0.69,0.00  -25.88  0.00
288,0.79,0.00  -28.30  0.00
289,0.80,-20.65  0.00  0.00
290,0.66,0.00  0.00  -17.16
291,0.86,-8.74  0.00  -5.49
292,0.66,0.00  -19.49  -16.25
293,0.85,-6.47  -8.55  0.00
294,0.62,-20.29  -21.70  0.00
295,0.71,-8.50  0.00  -8.43
296,0.59,-14.76  -12.16  0.00
297,0.71,0.00  -4.80  -7.85
298,0.70,-17.71  -17.01  0.00
299,0.63,-27.20  0.00  0.00
300,0.72,-18.21  0.00  0.00
301,0.66,0.00  -13.16  -18.76
302,0.68,-7.91  0.00  -14.24
303,0.61,0.00  -7.37  -9.09
304,0.86,-14.10  -11.51  0.00
305,0.82,0.00  -9.87  -10.25
306,0.81,-12.06  0.00  -14.91
307,0.68,0.00  -9.50  -9.11
308,0.65,-17.99  -15.08  0.00
309,0.75,0.00  -5.81  -6.21
310,0.90,-16.54  -14.70  0.00
311,0.90,0.00  -32.95  0.00
312,0.92,-10.24  0.00  -8.95
313,0.66,0.00  -22.82  0.00
314,0.90,-26.22  0.00  0.00
315,0.74,-7.16  -7.91  0.00
316,0.68,-13.55  -18.62  0.00
317,0.82,-11.87  -14.30  0.00
318,0.68,-10.53  0.00  -11.18
319,0.68,-12.98  0.00  -7.74
320,0.79,-7.37  -11.05  0.00
321,0.75,0.00  -17.24  0.00
322,0.76,-9.51  0.00  -6.82
323,0.91,0.00  -29.82  0.00
324,0.71,-7.71  -8.49  0.00
325,0.75,-9.79  -11.06  0.00
326,0.86,-5.80  0.00  -6.56
327,0.64,0.00  -6.72  -8.38
328,0.91,-10.50  0.00  -13.58
329,0.89,-21.54  0.00  0.00
330,0.89,0.00  -10.54  -8.18
331,0.72,-20.26  0.00  0.00
332,0.74,-21.63  0.00  -24.25
333,0.69,-25.20  0.00  0.00
334,0.77,-9.87  0.00  -8.01
335,0.73,-5.35  0.00  -9.88
336,0.78,-9.46  0.00  -9.59
337,0.82,-10.39  0.00  -9.46
338,0.64,-9.91  0.00  -4.98
339,0.62,-17.11  0.00  0.00
340,0.71,0.00  -8.25  -11.17
341,0.85,-19.28  0.00  0.00
342,0.79,-22.35  0.00  0.00
343,0.91,-23.94  0.00  0.00
344,0.60,-4.98  -11.68  0.00
345,0.75,-16.42  -10.89  0.00
346,0.79,0.00  -8.06  -7.74
347,0.80,-16.15  -10.61  0.00
348,0.76,-13.86  0.00  -20.85
349,0.68,0.00  -5.10  -6.09
350,0.74,-7.23  0.00  -9.39
351,0.90,-9.14  -15.27  0.00
352,0.87,-12.80  -15.36  0.00
353,0.91,0.00  -9.71  -6.85
354,0.67,0.00  -11.73  -7.45
355,0.75,0.00  -12.88  -8.03
356,0.72,-20.20  -15.98  0.00
357,0.77,0.00  0.00  -18.04
358,0.79,-22.64  -20.04  0.00
359,0.67,-14.71  0.00  -16.80
360,0.61,-12.85  -10.36  0.00
361,0.79,0.00  0.00  -27.86
362,0.64,0.00  -17.96  -13.43
363,0.79,-12.52  0.00  -21.40
364,0.81,0.00  -13.52  0.00
365,0.64,-12.52  0.00  -15.65
366,0.72,-11.66  -16.63  0.00
367,0.73,-19.62  0.00  0.00
368,0.65,0.00  -10.48  -14.84
369,0.68,-12.59  0.00  -9.36
370,0.85,-9.40  -10.08  0.00
371,0.74,0.00  -16.09  -15.50
372,0.77,-10.30  0.00  -14.19
373,0.64,-16.51  -12.25  0.00
374,0.72,0.00  -18.07  -15.18
375,0.75,-6.36  0.00  -6.96
376,0.83,0.00  -15.25  -12.93
377,0.83,-9.72  0.00  -7.70
378,0.87,-9.91  0.00  -10.28
379,0.65,0.00  0.00  -22.71
380,0.64,0.00  -15.30  0.00
381,0.81,-12.29  -16.61  0.00
382,0.86,-16.29  0.00  -8.56
383,0.71,-20.26  0.00  -21.72
384,0.76,-6.72  0.00  -8.26
385,0.66,0.00  -19.49  -21.12
386,0.81,-10.74  0.00  -11.26
387,0.77,0.00  -9.12  -9.71
388,0.73,-15.99  0.00  -17.79
389,0.67,-17.16  -10.75  0.00
390,0.67,0.00  0.00  -20.42
391,0.75,0.00  -14.90  -8.91
392,0.81,0.00  0.00  -23.78
393,0.73,0.00  -11.57  0.00
394,0.79,-9.35  -10.09  0.00
395,0.91,0.00  0.00  -14.59
396,0.78,0.00  -17.98  -16.88
397,0.68,-6.97  -11.43  0.00
398,0.79,-8.31  -4.28  0.00
399,0.69,-8.52  0.00  -6.58
400,0.72,-15.21  0.00  -17.97
401,0.68,-15.94  -11.77  0.00
402,0.92,-17.59  0.00  -17.57
403,0.86,-6.80  0.00  -14.02
404,0.69,0.00  0.00  -16.25
405,0.68,-11.33  -10.80  0.00
406,0.65,-11.77  0.00  -17.86
407,0.88,-21.15  0.00  0.00
408,0.92,0.00  -8.29  -10.11
409,0.72,-17.36  -21.33  0.00
410,0.85,0.00  0.00  -21.18
411,0.66,-10.08  0.00  -15.37
412,0.87,-9.97  0.00  -9.32
413,0.79,-11.83  -12.70  0.00
414,0.64,-10.05  -11.23  0.00
415,0.71,-18.32  -19.08  0.00
416,0.79,-17.54  -12.29  0.00
417,0.80,-11.70  0.00  -8.94
418,0.68,-23.97  -12.89  0.00
419,0.64,0.00  -16.89  0.00
420,0.85,-10.81  -8.46  0.00
421,0.66,-9.36  -20.10  0.00
422,0.78,-9.91  0.00  -11.30
423,0.71,0.00  -9.32  -10.16
424,0.85,-10.26  0.00  -7.88
425,0.79,-10.28  0.00  -17.63
426,0.89,-11.27  0.00  -11.23
427,0.80,0.00  -9.75  -8.87
428,0.72,-5.25  -11.55  0.00
429,0.70,-24.67  0.00  0.00
430,0.71,0.00  0.00  -21.33
431,0.64,-15.22  0.00  -14.33
432,0.79,-16.88  -17.43  0.00
433,0.58,-10.17  -19.62  0.00
434,0.86,-12.16  -7.62  0.00
435,0.90,0.00  -21.10  0.00
436,0.80,-14.70  0.00  0.00
437,0.94,0.00  0.00  -19.83
438,0.81,0.00  -9.58  -14.51
439,0.61,-7.69  -10.69  0.00
440,0.82,-15.81  -12.71  0.00
441,0.67,0.00  -23.95  0.00
442,0.84,-19.76  -19.53  0.00
443,0.69,-9.75  -4.84  0.00
444,0.67,-6.16  -7.83  0.00
445,0.63,-10.34  0.00  -11.59
446,0.64,0.00  -19.56  0.00
447,0.86,-12.50  0.00  -19.74
448,0.73,-8.25  -11.13  0.00
449,0.74,-12.52  -10.38  0.00
450,0.70,-13.59  0.00  -17.76
451,0.71,-16.66  -18.90  0.00
452,0.67,0.00  0.00  -12.79
453,0.65,-10.86  0.00  -11.71
454,0.72,0.00  -16.27  0.00
455,0.74,-11.21  -5.42  0.00
456,0.64,-16.57  -11.09  0.00
457,0.74,0.00  -34.73  0.00
458,0.76,0.00  -5.87  -7.21
459,0.84,-20.72  -14.53  0.00
460,0.95,-11.33  0.00  -4.74
461,0.67,0.00  0.00  -26.06
462,0.73,-6.40  0.00  -5.79
463,0.94,-13.25  0.00  -8.56
464,0.78,0.00  -12.52  0.00
465,0.83,0.00  0.00  -32.70
466,0.80,0.00  0.00  -20.16
467,0.74,-6.21  -14.28  0.00
468,0.78,0.00  -8.19  -5.01
469,0.81,-14.14  0.00  -18.85
470,0.67,0.00  -13.26  -14.55
471,0.75,-13.48  0.00  -10.95
472,0.72,-8.68  0.00  -12.43
473,0.68,-14.40  -10.37  0.00
474,0.83,0.00  -15.09  -17.12
475,0.80,-35.53  0.00  0.00
476,0.87,-9.47  0.00  -11.84
477,0.74,-14.19  0.00  -8.16
478,0.62,0.00  -14.40  0.00
479,0.74,0.00  -19.43  0.00
480,0.73,-7.19  -7.58  0.00
481,0.73,-6.95  -9.04  0.00
482,0.70,-8.60  0.00  -10.54
483,0.68,-10.51  -8.04  0.00
484,0.86,0.00  -5.32  -10.21
485,0.73,-18.64  -9.06  0.00
486,0.83,-16.57  -10.15  0.00
487,0.79,-16.70  -15.60  0.00
488,0.85,-12.65  0.00  -17.25
489,0.79,-20.34  0.00  0.00
490,0.73,0.00  0.00  -21.94
491,0.91,-30.73  0.00  0.00
492,0.73,-10.76  -15.61  0.00
493,0.80,-17.89  0.00  -12.86
494,0.73,-13.68  -10.21  0.00
495,0.70,-11.00  0.00  -15.92
496,0.86,-16.31  0.00  -7.04
497,0.63,-17.47  0.00  0.00
498,0.84,-9.99  -8.85  0.00
499,0.90,-10.99  -9.38  0.00
500,0.70,-12.59  -8.85  0.00
501,0.83,-11.69  0.00  -11.22
502,0.63,-6.33  -5.90  0.00
503,0.70,-5.39  0.00  -11.38
504,0.73,-7.73  -14.29  0.00
505,0.81,0.00  -13.89  -11.13
506,0.72,0.00  0.00  -16.37
507,0.83,-6.74  -6.89  0.00
508,0.81,-13.94  -14.63  0.00
509,0.80,-6.68  0.00  -6.70
510,0.72,0.00  0.00  -25.79
511,0.83,-4.48  0.00  -5.25
512,0.74,-17.40  0.00  0.00
513,0.76,0.00  -5.42  -10.14
514,0.67,-11.39  -9.88  0.00
515,0.74,-14.30  -8.61  0.00
516,0.77,0.00  -10.02  -16.72
517,0.79,-17.44  -13.16  0.00
518,0.73,-8.64  -14.47  0.00
519,0.88,0.00  -13.49  -17.51
520,0.84,-21.04  -21.95  0.00
521,0.80,-11.26  -15.37  0.00
522,0.82,-10.67  -5.86  0.00
523,0.85,0.00  -17.45  0.00
524,0.61,-19.68  0.00  0.00
525,0.66,0.00  -21.37  -22.26
526,0.75,0.00  -8.91  -15.42
527,0.76,-11.16  0.00  -14.85
528,0.61,-20.70  0.00  0.00
529,0.85,-25.03  0.00  0.00
530,0.63,-12.02  -13.70  0.00
531,0.68,0.00  0.00  -13.47
532,0.60,-15.84  0.00  0.00
533,0.91,-20.56  -11.71  0.00
534,0.83,-21.97  0.00  -11.84
535,0.82,-20.11  -12.26  0.00
536,0.64,-9.24  0.00  -14.59
537,0.74,0.00  -13.88  -20.77
538,0.78,0.00  -10.98  -17.45
539,0.80,0.00  -9.67  -11.06
540,0.92,0.00  -10.29  -9.46
541,0.67,-7.97  0.00  -5.07
542,0.70,-12.36  -11.59  0.00
543,0.73,-11.00  -9.87  0.00
544,0.96,-13.06  0.00  0.00
545,0.88,-4.61  -4.07  0.00
546,0.77,-11.87  -20.68  0.00
547,0.76,-9.03  -15.84  0.00
548,0.67,-10.54  0.00  -21.68
549,0.63,-13.71  -7.91  0.00
550,0.71,-22.72  0.00  0.00
551,0.76,0.00  -11.41  -12.18
552,0.84,-11.19  0.00  -11.80
553,0.77,-8.23  -7.19  0.00
554,0.79,-12.94  0.00  0.00
555,0.63,-12.42  0.00  -8.27
556,0.79,-19.21  0.00  0.00
557,0.73,-10.77  0.00  -8.51
558,0.75,0.00  0.00  -22.97
559,0.74,0.00  -6.34  -12.54
560,0.81,-11.06  -9.91  0.00
561,0.61,-16.18  -13.44  0.00
562,0.60,-18.74  0.00  0.00
563,0.72,-12.07  -17.92  0.00
564,0.66,-12.32  -9.70  0.00
565,0.72,-18.01  0.00  0.00
566,0.72,-10.63  0.00  -6.18
567,0.79,-9.84  -9.26  0.00
568,0.72,-20.63  0.00  0.00
569,0.74,-11.47  -9.40  0.00
570,0.93,-6.05  -13.24  0.00
571,0.67,-9.18  -17.70  0.00
572,0.80,-8.48  -10.13  0.00
573,0.73,0.00  -9.34  -9.77
574,0.68,-9.67  -8.67  0.00
575,0.72,-10.94  -7.12  0.00
576,0.71,0.00  -14.63  -8.30
577,0.75,-8.20  -11.64  0.00
578,0.61,-7.62  -12.64  0.00
579,0.63,-15.45  0.00  -12.11
580,0.65,-8.97  -11.93  0.00
581,0.74,0.00  -5.75  -6.38
582,0.79,-33.66  0.00  0.00
583,0.73,-8.83  0.00  -14.37
584,0.86,0.00  -5.69  -6.88
585,0.86,0.00  0.00  -21.12
586,0.63,-12.25  -9.33  0.00
587,0.75,0.00  -11.11  -11.99
588,0.76,0.00  -12.55  -10.10
589,0.69,-12.43  -14.54  0.00
590,0.90,0.00  -11.85  -10.36
591,0.79,-17.75  0.00  -14.43
592,0.77,-5.92  -9.07  0.00
593,0.77,-6.90  0.00  -7.04
594,0.90,0.00  -5.81  -8.66
595,0.79,-11.26  0.00  -9.11
596,0.90,-30.57  0.00  0.00
597,0.64,-15.77  0.00  -13.03
598,0.82,-10.56  0.00  -12.31
599,0.78,-13.86  0.00  -9.03
600,0.78,-14.07  -7.00  0.00
601,0.60,-6.47  0.00  -9.42
602,0.84,0.00  -5.24  -6.57
603,0.88,-21.22  0.00  -19.05
604,0.74,0.00  0.00  -14.96
605,0.79,-6.80  -8.32  0.00
606,0.63,-16.24  -12.05  0.00
607,0.65,0.00  -32.07  0.00
608,0.73,-15.25  -7.83  0.00
609,0.74,-12.47  -5.70  0.00
610,0.85,-6.57  0.00  -6.59
611,0.66,-13.13  0.00  -11.46
612,0.77,-8.03  0.00  -7.15
613,0.62,-8.49  -6.90  0.00
614,0.71,-15.64  0.00  -7.35
615,0.77,-14.33  0.00  -15.24
616,0.74,0.00  -18.56  -15.64
617,0.72,-10.10  0.00  -8.30
618,0.77,-10.68  -23.52  0.00
619,0.88,0.00  -10.54  -8.08
620,0.87,-5.90  0.00  -6.14
621,0.64,0.00  -21.70  0.00
622,0.66,-10.51  -7.79  0.00
623,0.83,-22.05  0.00  0.00
624,0.62,-5.48  -7.90  0.00
625,0.69,-6.99  -6.90  0.00
626,0.68,0.00  -8.95  -8.98
627,0.79,-19.52  -15.17  0.00
628,0.64,0.00  0.00  -21.98
629,0.87,0.00  0.00  -17.26
630,0.72,0.00  0.00  -12.40
631,0.83,-11.49  0.00  -11.11
632,0.76,0.00  -8.63  -20.83
633,0.71,-8.75  -19.14  0.00
634,0.77,-9.37  0.00  -7.35
635,0.63,0.00  -10.60  -12.15
636,0.82,-5.55  -6.74  0.00
637,0.84,0.00  -9.86  -11.06
638,0.71,-19.70  -12.59  0.00
639,0.72,-17.41  0.00  -16.59
640,0.69,-6.95  -8.07  0.00
641,0.66,-15.82  -20.17  0.00
642,0.79,0.00  -13.58  -13.86
643,0.81,-9.94  -13.10  0.00
644,0.75,-16.29  -21.80  0.00
645,0.67,-5.80  0.00  -9.73
646,0.77,-12.89  0.00  -9.40
647,0.76,0.00  -9.70  -15.28
648,0.64,-6.64  -9.18  0.00
649,0.80,0.00  -12.88  -17.43
650,0.71,-19.33  -20.48  0.00
651,0.81,-8.68  -13.70  0.00
652,0.80,-17.36  0.00  0.00
653,0.72,0.00  -11.69  0.00
654,0.78,0.00  -8.55  -12.88
655,0.69,-16.32  0.00  -10.10
656,0.91,-16.44  -19.96  0.00
657,0.91,-15.15  0.00  -14.84
658,0.72,-14.72  0.00  0.00
659,0.81,-11.41  0.00  -16.83
660,0.71,-15.99  0.00  0.00
661,0.83,0.00  -13.34  -12.43
662,0.62,-21.55  0.00  0.00
663,0.82,-14.24  0.00  -11.59
664,0.72,-10.80  0.00  -11.27
665,0.72,-22.67  0.00  0.00
666,0.88,0.00  -15.02  -15.32
667,0.78,-5.87  -6.05  0.00
668,0.71,0.00  -13.91  0.00
669,0.64,-21.43  0.00  0.00
670,0.81,-27.01  0.00  0.00
671,0.73,-8.58  0.00  -11.33
672,0.84,-17.49  -9.11  0.00
673,0.63,-20.24  0.00  0.00
674,0.79,-8.15  0.00  -10.82
675,0.75,0.00  -11.44  -6.42
676,0.73,0.00  0.00  -21.44
677,0.94,-14.10  0.00  -10.78
678,0.66,0.00  -8.51  -9.63
679,0.82,-8.39  -10.54  0.00
680,0.68,-15.24  -18.57  0.00
681,0.82,-11.64  0.00  -14.42
682,0.82,0.00  -9.70  -14.08
683,0.85,-18.20  -14.72  0.00
684,0.75,-12.62  -11.68  0.00
685,0.82,-8.96  -14.54  0.00
686,0.80,-8.35  -12.20  0.00
687,0.62,-9.48  -8.29  0.00
688,0.69,-9.29  -6.64  0.00
689,0.62,-15.81  -11.09  0.00
690,0.83,0.00  -12.17  -13.66
691,0.73,0.00  -13.93  -15.86
692,0.71,-9.60  -13.59  0.00
693,0.69,-7.52  0.00  -11.81
694,0.72,0.00  -11.48  -14.44
695,0.80,0.00  -14.65  -15.60
696,0.80,-9.63  0.00  -11.55
697,0.87,-15.55  -10.10  0.00
698,0.78,-13.52  -21.44  0.00
699,0.72,-16.97  0.00  0.00
700,0.89,-9.81  -6.80  0.00
701,0.64,-10.17  0.00  -16.06
702,0.84,-17.38  0.00  -16.86
703,0.73,-12.13  -9.65  0.00
704,0.69,-25.92  0.00  0.00
705,0.88,-5.92  -4.35  0.00
706,0.90,-5.53  -7.57  0.00
