id,reward
293,-41.49988009349957
294,-28.99615730320272
295,-44.13533554888804
296,-22.15619666282781
297,-35.60458845199005
298,-46.0028010559101
299,-26.321669559746468
300,-20.458813111424384
301,-33.687075596363
302,-27.597085085494
303,-26.06793312265888
304,-27.519394930397986
305,-46.64094881626748
306,-33.52068691508711
307,-44.04316962687231
308,-35.924927172072515
309,-35.4710735140391
310,-31.79085160449928
311,-46.38775454840966
312,-47.41812989379464
313,-40.874201033666964
314,-35.96667092946542
315,-35.270619483521145
316,-40.776266852446106
317,-41.49553583444815
318,-30.446910615262375
319,-34.953458591314934
320,-46.569829724964436
321,-33.88868302956797
322,-32.664308231956326
323,-24.906126355055783
324,-29.176958849596588
325,-46.86280379065775
326,-45.8550648388627
327,-33.90231663632751
328,-23.005573165242673
329,-25.251628396797788
330,-35.83488116496807
331,-29.091857906123266
332,-48.391190910950854
333,-41.473811622657465
334,-29.267106813477
335,-49.489278564270606
336,-46.40584478437857
337,-37.06050704346414
338,-41.979638960167335
339,-29.616108990416777
340,-39.0980755625457
341,-28.216548413607683
342,-20.2415955998183
343,-44.093362714500294
344,-47.63858143449489
345,-33.972024670908866
346,-48.355913101826474
347,-39.188170489466884
348,-28.86915601682592
349,-44.27957071132438
350,-41.88396095716256
351,-21.615904093297342
352,-49.37354512522413
353,-21.983825667848322
354,-29.36550825003966
355,-47.961935680046956
356,-42.58977766644746
357,-34.37965943838259
358,-38.83461224024731
359,-41.58152830045083
360,-34.14218713084102
361,-22.08101542458291
362,-34.80135403104617
363,-29.5765222800798
364,-47.2860397790831
365,-37.02829546860298
366,-43.928143067527145
367,-47.67764655333657
368,-37.4380197478534
369,-20.154681829455814
370,-43.290022017090756
371,-28.383244143449055
372,-38.41239042579111
373,-27.880437350584597
374,-30.90457480826548
375,-29.421619773999055
376,-44.152955112351464
377,-23.790952135305986
378,-25.59739062005827
379,-32.785524226341714
380,-41.52406031883139
381,-27.245980835257626
382,-36.41351973630759
383,-42.50583813186543
384,-45.48246448603914
385,-35.583110710485684
386,-24.361247021157254
387,-29.505806443845643
388,-33.67278475568693
389,-29.49186652837276
390,-44.956923643544286
391,-48.23519539471243
