id,action,origin,destination,start_time
616,0,0,0,1848
617,1,1,1,1848
618,0,0,0,1854
619,0,1,1,1854
620,0,0,0,1860
621,2,1,1,1860
622,1,0,0,1866
623,0,1,1,1866
624,2,0,0,1872
625,2,1,1,1872
626,2,0,0,1878
627,2,1,1,1878
628,1,0,0,1884
629,1,1,1,1884
630,1,0,0,1890
631,2,1,1,1890
632,2,0,0,1896
633,1,1,1,1896
634,2,0,0,1902
635,1,1,1,1902
636,2,0,0,1908
637,1,1,1,1908
638,0,0,0,1914
639,2,1,1,1914
640,0,0,0,1920
641,0,1,1,1920
642,2,0,0,1926
643,0,1,1,1926
644,1,0,0,1932
645,1,1,1,1932
646,2,0,0,1938
647,1,1,1,1938
648,0,0,0,1944
649,1,1,1,1944
650,1,0,0,1950
651,2,1,1,1950
652,2,0,0,1956
653,1,1,1,1956
654,2,0,0,1962
655,2,1,1,1962
656,1,0,0,1968
657,1,1,1,1968
658,0,0,0,1974
659,2,1,1,1974
660,0,0,0,1980
661,2,1,1,1980
662,1,0,0,1986
663,1,1,1,1986
664,0,0,0,1992
665,0,1,1,1992
666,0,0,0,1998
667,0,1,1,1998
668,1,0,0,2004
669,0,1,1,2004
670,1,0,0,2010
671,2,1,1,2010
672,0,0,0,2016
673,1,1,1,2016
674,2,0,0,2022
675,0,1,1,2022
676,0,0,0,2028
677,2,1,1,2028
678,1,0,0,2034
679,1,1,1,2034
680,2,0,0,2040
681,1,1,1,2040
682,1,0,0,2046
683,2,1,1,2046
684,2,0,0,2052
685,0,1,1,2052
686,2,0,0,2058
687,2,1,1,2058
688,2,0,0,2064
689,1,1,1,2064
690,2,0,0,2070
691,1,1,1,2070
692,2,0,0,2076
693,2,1,1,2076
694,0,0,0,2082
695,2,1,1,2082
696,1,0,0,2088
697,0,1,1,2088
698,2,0,0,2094
699,1,1,1,2094
700,0,0,0,2100
701,2,1,1,2100
702,0,0,0,2106
703,1,1,1,2106
704,0,0,0,2112
705,0,1,1,2112
706,2,0,0,2118
707,0,1,1,2118
708,0,0,0,2124
709,0,1,1,2124
710,0,0,0,2130
711,2,1,1,2130
712,1,0,0,2136
713,1,1,1,2136
714,2,0,0,2142
715,2,1,1,2142
716,1,0,0,2148
717,0,1,1,2148
718,2,0,0,2154
719,1,1,1,2154
720,2,0,0,2160
721,2,1,1,2160
722,1,0,0,2166
723,1,1,1,2166
724,0,0,0,2172
725,1,1,1,2172
726,0,0,0,2178
727,1,1,1,2178
728,1,0,0,2184
729,1,1,1,2184
730,0,0,0,2190
731,1,1,1,2190
732,0,0,0,2196
733,1,1,1,2196
734,0,0,0,2202
735,1,1,1,2202
736,2,0,0,2208
737,1,1,1,2208
738,2,0,0,2214
739,2,1,1,2214
740,1,0,0,2220
741,2,1,1,2220
742,2,0,0,2226
743,2,1,1,2226
744,2,0,0,2232
745,1,1,1,2232
746,1,0,0,2238
747,2,1,1,2238
748,0,0,0,2244
749,2,1,1,2244
750,1,0,0,2250
751,0,1,1,2250
752,1,0,0,2256
753,1,1,1,2256
754,1,0,0,2262
755,2,1,1,2262
756,1,0,0,2268
757,2,1,1,2268
758,0,0,0,2274
759,2,1,1,2274
760,2,0,0,2280
761,1,1,1,2280
762,2,0,0,2286
763,2,1,1,2286
764,0,0,0,2292
765,1,1,1,2292
766,1,0,0,2298
767,2,1,1,2298
768,1,0,0,2304
769,1,1,1,2304
770,1,0,0,2310
771,0,1,1,2310
772,1,0,0,2316
773,1,1,1,2316
774,2,0,0,2322
775,1,1,1,2322
776,1,0,0,2328
777,2,1,1,2328
778,1,0,0,2334
779,2,1,1,2334
780,0,0,0,2340
781,1,1,1,2340
782,1,0,0,2346
783,1,1,1,2346
