id,action,origin,destination,start_time,epsilon
358,2,0,0,1074,0.75
359,2,1,1,1074,0.76
360,0,0,0,1080,0.62
361,0,1,1,1080,0.64
362,0,0,0,1086,0.83
363,0,1,1,1086,0.81
364,1,0,0,1092,0.75
365,0,1,1,1092,0.82
366,2,0,0,1098,0.77
367,2,1,1,1098,0.82
368,0,0,0,1104,0.75
369,1,1,1,1104,0.75
370,1,0,0,1110,0.81
371,2,1,1,1110,0.92
372,1,0,0,1116,0.95
373,0,1,1,1116,0.60
374,2,0,0,1122,0.78
375,0,1,1,1122,0.78
376,2,0,0,1128,0.87
377,1,1,1,1128,0.69
378,1,0,0,1134,0.77
379,2,1,1,1134,0.78
380,2,0,0,1140,0.72
381,2,1,1,1140,0.77
382,2,0,0,1146,0.79
383,2,1,1,1146,0.81
384,0,0,0,1152,0.66
385,1,1,1,1152,0.76
386,0,0,0,1158,0.72
387,1,1,1,1158,0.70
388,1,0,0,1164,0.77
389,2,1,1,1164,0.80
390,2,0,0,1170,0.80
391,1,1,1,1170,0.70
392,1,0,0,1176,0.70
393,0,1,1,1176,0.71
394,2,0,0,1182,0.88
395,0,1,1,1182,0.74
396,1,0,0,1188,0.65
397,1,1,1,1188,0.75
398,0,0,0,1194,0.66
399,0,1,1,1194,0.71
400,2,0,0,1200,0.93
401,0,1,1,1200,0.63
402,1,0,0,1206,0.77
403,2,1,1,1206,0.83
404,0,0,0,1212,0.72
405,0,1,1,1212,0.85
406,2,0,0,1218,0.76
407,0,1,1,1218,0.69
408,1,0,0,1224,0.80
409,1,1,1,1224,0.67
410,0,0,0,1230,0.73
411,1,1,1,1230,0.75
412,1,0,0,1236,0.81
413,0,1,1,1236,0.59
414,0,0,0,1242,0.89
415,0,1,1,1242,0.68
416,0,0,0,1248,0.75
417,1,1,1,1248,0.79
418,0,0,0,1254,0.70
419,0,1,1,1254,0.69
420,2,0,0,1260,0.78
421,0,1,1,1260,0.81
422,1,0,0,1266,0.89
423,2,1,1,1266,0.82
424,2,0,0,1272,0.92
425,0,1,1,1272,0.92
426,2,0,0,1278,0.80
427,2,1,1,1278,0.68
428,0,0,0,1284,0.60
429,0,1,1,1284,0.88
430,2,0,0,1290,0.86
431,2,1,1,1290,0.81
432,2,0,0,1296,0.75
433,0,1,1,1296,0.86
434,0,0,0,1302,0.83
435,2,1,1,1302,0.82
436,0,0,0,1308,0.73
437,0,1,1,1308,0.77
438,2,0,0,1314,0.75
439,1,1,1,1314,0.90
440,1,0,0,1320,0.68
441,0,1,1,1320,0.74
442,2,0,0,1326,0.72
443,2,1,1,1326,0.72
444,2,0,0,1332,0.65
445,2,1,1,1332,0.87
446,1,0,0,1338,0.91
447,0,1,1,1338,0.79
448,1,0,0,1344,0.80
449,0,1,1,1344,0.84
450,1,0,0,1350,0.84
451,0,1,1,1350,0.80
452,1,0,0,1356,0.75
453,1,1,1,1356,0.75
454,1,0,0,1362,0.86
455,1,1,1,1362,0.85
456,2,0,0,1368,0.85
457,2,1,1,1368,0.90
458,1,0,0,1374,0.80
459,0,1,1,1374,0.70
460,1,0,0,1380,0.70
461,0,1,1,1380,0.85
462,0,0,0,1386,0.76
463,1,1,1,1386,0.76
464,1,0,0,1392,0.79
465,2,1,1,1392,0.92
466,1,0,0,1398,0.82
467,1,1,1,1398,0.68
468,1,0,0,1404,0.71
469,2,1,1,1404,0.86
470,0,0,0,1410,0.79
471,0,1,1,1410,0.86
472,2,0,0,1416,0.77
473,2,1,1,1416,0.63
474,1,0,0,1422,0.74
475,2,1,1,1422,0.87
476,1,0,0,1428,0.66
477,0,1,1,1428,0.68
478,0,0,0,1434,0.69
479,2,1,1,1434,0.83
480,1,0,0,1440,0.81
481,1,1,1,1440,0.68
482,1,0,0,1446,0.80
483,1,1,1,1446,0.63
484,1,0,0,1452,0.88
485,0,1,1,1452,0.78
486,0,0,0,1458,0.76
487,1,1,1,1458,0.79
488,2,0,0,1464,0.83
489,1,1,1,1464,0.70
490,2,0,0,1470,0.90
491,1,1,1,1470,0.73
492,2,0,0,1476,0.65
493,0,1,1,1476,0.62
494,0,0,0,1482,0.61
495,1,1,1,1482,0.84
496,0,0,0,1488,0.77
497,1,1,1,1488,0.85
498,0,0,0,1494,0.83
499,0,1,1,1494,0.83
500,0,0,0,1500,0.71
501,2,1,1,1500,0.72
502,1,0,0,1506,0.83
503,0,1,1,1506,0.77
504,0,0,0,1512,0.63
505,1,1,1,1512,0.83
506,1,0,0,1518,0.75
507,1,1,1,1518,0.84
508,1,0,0,1524,0.65
509,2,1,1,1524,0.72
510,0,0,0,1530,0.67
511,1,1,1,1530,0.62
512,2,0,0,1536,0.61
513,0,1,1,1536,0.88
514,2,0,0,1542,0.73
515,1,1,1,1542,0.64
516,0,0,0,1548,0.92
517,0,1,1,1548,0.70
518,1,0,0,1554,0.87
519,1,1,1,1554,0.77
520,0,0,0,1560,0.75
521,0,1,1,1560,0.70
522,2,0,0,1566,0.82
523,0,1,1,1566,0.67
524,0,0,0,1572,0.78
525,2,1,1,1572,0.68
526,1,0,0,1578,0.76
527,2,1,1,1578,0.81
528,0,0,0,1584,0.70
529,0,1,1,1584,0.66
530,2,0,0,1590,0.77
531,0,1,1,1590,0.89
532,1,0,0,1596,0.79
533,1,1,1,1596,0.89
534,1,0,0,1602,0.77
535,1,1,1,1602,0.63
536,1,0,0,1608,0.82
537,2,1,1,1608,0.76
538,0,0,0,1614,0.83
539,1,1,1,1614,0.68
540,1,0,0,1620,0.85
541,0,1,1,1620,0.67
542,1,0,0,1626,0.69
543,0,1,1,1626,0.70
544,2,0,0,1632,0.86
545,1,1,1,1632,0.83
546,1,0,0,1638,0.83
547,0,1,1,1638,0.66
548,0,0,0,1644,0.74
549,1,1,1,1644,0.80
550,2,0,0,1650,0.67
551,0,1,1,1650,0.65
552,1,0,0,1656,0.73
553,2,1,1,1656,0.72
554,0,0,0,1662,0.71
555,2,1,1,1662,0.82
556,0,0,0,1668,0.76
557,0,1,1,1668,0.77
558,1,0,0,1674,0.77
559,2,1,1,1674,0.87
560,1,0,0,1680,0.69
561,0,1,1,1680,0.76
562,2,0,0,1686,0.89
563,2,1,1,1686,0.74
564,2,0,0,1692,0.73
565,1,1,1,1692,0.82
566,2,0,0,1698,0.79
567,0,1,1,1698,0.69
568,1,0,0,1704,0.60
569,0,1,1,1704,0.68
570,1,0,0,1710,0.80
571,1,1,1,1710,0.67
572,0,0,0,1716,0.64
573,1,1,1,1716,0.73
574,1,0,0,1722,0.77
575,1,1,1,1722,0.78
576,2,0,0,1728,0.73
577,0,1,1,1728,0.69
578,0,0,0,1734,0.69
579,2,1,1,1734,0.75
580,1,0,0,1740,0.64
581,0,1,1,1740,0.63
582,0,0,0,1746,0.69
583,1,1,1,1746,0.73
584,0,0,0,1752,0.66
585,0,1,1,1752,0.90
586,1,0,0,1758,0.60
587,1,1,1,1758,0.58
588,1,0,0,1764,0.92
589,0,1,1,1764,0.70
590,0,0,0,1770,0.81
591,2,1,1,1770,0.77
592,0,0,0,1776,0.64
593,2,1,1,1776,0.88
594,2,0,0,1782,0.74
595,1,1,1,1782,0.76
596,0,0,0,1788,0.75
597,0,1,1,1788,0.85
598,2,0,0,1794,0.75
599,0,1,1,1794,0.68
600,2,0,0,1800,0.66
601,0,1,1,1800,0.60
602,1,0,0,1806,0.82
603,2,1,1,1806,0.79
604,2,0,0,1812,0.91
605,0,1,1,1812,0.67
606,1,0,0,1818,0.84
607,1,1,1,1818,0.96
608,0,0,0,1824,0.86
609,1,1,1,1824,0.60
610,2,0,0,1830,0.71
611,1,1,1,1830,0.77
612,0,0,0,1836,0.64
613,0,1,1,1836,0.60
614,0,0,0,1842,0.66
615,1,1,1,1842,0.79
616,2,0,0,1848,0.93
617,2,1,1,1848,0.77
618,0,0,0,1854,0.82
619,1,1,1,1854,0.85
620,0,0,0,1860,0.67
621,2,1,1,1860,0.75
622,2,0,0,1866,0.84
623,1,1,1,1866,0.75
624,1,0,0,1872,0.77
625,1,1,1,1872,0.65
626,2,0,0,1878,0.67
627,0,1,1,1878,0.87
628,2,0,0,1884,0.58
629,0,1,1,1884,0.81
630,2,0,0,1890,0.78
631,1,1,1,1890,0.76
632,2,0,0,1896,0.68
633,1,1,1,1896,0.67
634,1,0,0,1902,0.81
635,1,1,1,1902,0.72
636,2,0,0,1908,0.77
637,1,1,1,1908,0.80
638,2,0,0,1914,0.80
639,0,1,1,1914,0.69
640,2,0,0,1920,0.70
641,1,1,1,1920,0.81
642,1,0,0,1926,0.65
643,1,1,1,1926,0.79
644,1,0,0,1932,0.73
645,1,1,1,1932,0.75
646,0,0,0,1938,0.70
647,0,1,1,1938,0.66
648,1,0,0,1944,0.60
649,2,1,1,1944,0.90
650,2,0,0,1950,0.79
651,1,1,1,1950,0.71
652,0,0,0,1956,0.80
653,1,1,1,1956,0.64
654,1,0,0,1962,0.81
655,0,1,1,1962,0.96
656,0,0,0,1968,0.89
657,2,1,1,1968,0.79
658,2,0,0,1974,0.73
659,2,1,1,1974,0.88
660,1,0,0,1980,0.79
661,1,1,1,1980,0.70
662,0,0,0,1986,0.85
663,2,1,1,1986,0.81
664,2,0,0,1992,0.74
665,0,1,1,1992,0.87
666,1,0,0,1998,0.74
667,2,1,1,1998,0.76
668,0,0,0,2004,0.75
669,2,1,1,2004,0.71
670,0,0,0,2010,0.75
671,0,1,1,2010,0.75
672,1,0,0,2016,0.78
673,2,1,1,2016,0.71
674,0,0,0,2022,0.79
675,1,1,1,2022,0.85
676,0,0,0,2028,0.71
677,2,1,1,2028,0.78
678,0,0,0,2034,0.61
679,0,1,1,2034,0.81
680,0,0,0,2040,0.74
681,2,1,1,2040,0.81
682,1,0,0,2046,0.89
683,1,1,1,2046,0.84
684,1,0,0,2052,0.62
685,1,1,1,2052,0.61
686,2,0,0,2058,0.76
687,1,1,1,2058,0.82
688,2,0,0,2064,0.76
689,0,1,1,2064,0.86
690,1,0,0,2070,0.71
691,1,1,1,2070,0.75
692,0,0,0,2076,0.84
693,0,1,1,2076,0.78
694,1,0,0,2082,0.86
695,1,1,1,2082,0.67
696,2,0,0,2088,0.69
697,1,1,1,2088,0.68
698,0,0,0,2094,0.68
699,2,1,1,2094,0.84
700,0,0,0,2100,0.82
701,2,1,1,2100,0.73
702,2,0,0,2106,0.59
703,1,1,1,2106,0.88
704,0,0,0,2112,0.71
705,2,1,1,2112,0.86
706,1,0,0,2118,0.74
707,2,1,1,2118,0.82
708,0,0,0,2124,0.80
709,0,1,1,2124,0.76
710,0,0,0,2130,0.92
711,0,1,1,2130,0.79
712,0,0,0,2136,0.72
713,1,1,1,2136,0.82
714,0,0,0,2142,0.76
715,1,1,1,2142,0.73
716,0,0,0,2148,0.87
717,0,1,1,2148,0.71
718,2,0,0,2154,0.88
719,1,1,1,2154,0.72
720,2,0,0,2160,0.83
721,1,1,1,2160,0.69
722,0,0,0,2166,0.86
723,2,1,1,2166,0.60
724,2,0,0,2172,0.82
725,1,1,1,2172,0.76
726,0,0,0,2178,0.74
727,1,1,1,2178,0.60
728,1,0,0,2184,0.72
729,0,1,1,2184,0.59
730,1,0,0,2190,0.71
731,2,1,1,2190,0.71
732,2,0,0,2196,0.78
733,1,1,1,2196,0.63
734,1,0,0,2202,0.65
735,0,1,1,2202,0.76
736,0,0,0,2208,0.71
737,0,1,1,2208,0.72
738,2,0,0,2214,0.83
739,0,1,1,2214,0.58
740,2,0,0,2220,0.83
741,2,1,1,2220,0.68
742,0,0,0,2226,0.77
743,1,1,1,2226,0.72
744,0,0,0,2232,0.79
745,0,1,1,2232,0.62
746,2,0,0,2238,0.68
747,1,1,1,2238,0.73
748,2,0,0,2244,0.85
749,0,1,1,2244,0.87
750,0,0,0,2250,0.64
751,2,1,1,2250,0.75
752,1,0,0,2256,0.70
753,2,1,1,2256,0.72
754,2,0,0,2262,0.76
755,0,1,1,2262,0.65
756,0,0,0,2268,0.70
757,2,1,1,2268,0.77
758,2,0,0,2274,0.79
759,0,1,1,2274,0.80
760,0,0,0,2280,0.66
761,1,1,1,2280,0.74
762,1,0,0,2286,0.83
763,2,1,1,2286,0.73
764,1,0,0,2292,0.73
765,0,1,1,2292,0.81
766,0,0,0,2298,0.66
767,2,1,1,2298,0.74
768,1,0,0,2304,0.82
769,2,1,1,2304,0.84
770,2,0,0,2310,0.82
